order_id,customer_id,amount,currency,order_date,status
ord_0000,cust_1,454.75,EUR,2025-10-23,cancelled
ord_0001,cust_15,351.36,USD,2025-09-26,SHIPPED
ord_0002,cust_13,136.61,USD,2025-07-23,cancelled
ord_0003,cust_8,484.74,USD,2025-11-20,cancelled
ord_0004,cust_8,390.48,INR,2025-02-16,shipped
ord_0005,cust_17,359.86,USD,2025-12-03,cancelled
ord_0006,cust_1,227.43,USD,2025-11-07,shipped
ord_0007,cust_13,139.76,EUR,2025-07-03,shipped
ord_0008,cust_4,52.71,USD,2025-09-25,SHIPPED
ord_0009,cust_1,451.79,USD,2025-07-09,cancelled
ord_0010,cust_10,230.61,USD,2025-04-09,shipped
ord_0011,cust_19,105.17,USD,2025-10-19,cancelled
ord_0012,cust_14,156.45,USD,2025-03-31,SHIPPED
ord_0013,cust_15,291.71,USD,2025-04-25,cancelled
ord_0014,cust_14,92.5,USD,2025-07-09,placed
ord_0015,cust_15,429.02,USD,2025-11-02,placed
ord_0016,cust_10,380.47,USD,2025-05-21,shipped
ord_0017,cust_2,361.13,EUR,2025-06-30,shipped
ord_0018,cust_16,218.89,USD,2025-01-16,cancelled
ord_0019,cust_9,315.52,INR,2025-02-12,SHIPPED
ord_0020,cust_10,294.13,INR,2025-01-21,shipped
ord_0021,cust_7,326.67,USD,2025-01-27,shipped
ord_0022,cust_3,46.8,USD,2025-11-14,cancelled
ord_0023,cust_18,210.82,USD,2025-11-04,shipped
ord_0024,cust_15,25.6,INR,2025-10-27,SHIPPED
ord_0025,cust_12,249.53,EUR,2025-01-21,cancelled
ord_0026,cust_8,168.28,INR,2025-01-29,placed
ord_0027,cust_16,76.54,USD,2025-04-13,cancelled
ord_0028,cust_10,56.18,EUR,2025-07-26,placed
ord_0029,cust_8,295.88,USD,2025-05-02,SHIPPED
ord_0030,,89.44,EUR,2025-06-27,cancelled
ord_0031,cust_4,462.93,USD,2025-03-05,shipped
ord_0032,cust_1,292.63,EUR,2025-09-24,cancelled
ord_0033,cust_11,176.7,INR,2025-04-25,shipped
ord_0034,,297.5,USD,2025-01-25,shipped
ord_0035,cust_1,16.29,EUR,2025-09-29,SHIPPED
ord_0036,cust_17,479.49,USD,2025-11-26,placed
ord_0037,cust_16,243.74,EUR,2025-01-06,placed
ord_0038,cust_5,392.45,USD,2025-06-09,SHIPPED
ord_0039,cust_12,45.95,INR,2025-10-29,placed
ord_0040,cust_3,245.9,USD,2025-09-15,shipped
ord_0041,cust_15,247.9,INR,2025-11-09,cancelled
ord_0042,cust_14,469.22,INR,2025-06-01,cancelled
ord_0043,cust_7,288.01,USD,2025-05-16,SHIPPED
ord_0044,cust_1,239.38,EUR,2025-09-16,cancelled
ord_0045,cust_19,137.15,EUR,2025-02-26,cancelled
ord_0046,,169.13,INR,2025-03-29,cancelled
ord_0047,cust_17,262.73,USD,2025-08-08,SHIPPED
ord_0048,cust_13,222.26,USD,2025-09-01,SHIPPED
ord_0049,cust_15,15.7,USD,2025-02-13,cancelled
ord_0050,cust_15,414.01,EUR,2025-07-05,placed
ord_0051,cust_3,448.6,USD,2025-05-14,SHIPPED
