order_id,customer_id,order_date,amount
ord_0000,cust_1,2025-08-13,154.45
ord_0001,cust_15,2025-10-12,459.63
ord_0002,cust_13,2025-09-27,391.74
ord_0003,cust_8,2025-02-19,59.74
ord_0004,cust_8,2025-10-29,498.53
ord_0005,cust_17,2025-07-15,440.2
ord_0006,cust_1,2025-04-28,145.53
ord_0007,cust_13,2025-07-07,419.26
ord_0008,,2025-12-19,57.68
ord_0009,cust_1,2025-11-10,499.56
ord_0010,cust_10,2025-11-01,334.51
ord_0011,cust_19,2025-06-18,326.81
ord_0012,cust_14,2025-10-14,49.77
ord_0013,cust_15,2025-05-21,449.03
ord_0014,cust_14,2025-09-08,19.35
ord_0015,cust_15,2025-08-22,124.21
ord_0016,cust_10,2025-04-02,75.8
ord_0017,cust_2,2025-04-08,389.5
ord_0018,cust_16,2025-01-23,103.11
ord_0019,cust_9,2025-02-21,455.77
ord_0020,cust_10,2025-06-08,329.85
ord_0021,cust_7,2025-06-24,22.9
ord_0022,,2025-03-02,7.69
ord_0023,cust_18,2025-06-02,30.57
ord_0024,,2025-08-09,304.93
ord_0025,cust_12,2025-03-26,401.73
ord_0026,cust_8,2025-05-04,123.08
ord_0027,,2025-05-15,425.46
ord_0028,,2025-07-04,33.33
ord_0029,cust_8,2025-05-14,401.48
ord_0030,cust_9,2025-09-26,464.26
ord_0031,cust_4,2025-04-30,387.19
ord_0032,cust_1,2025-06-08,350.57
ord_0033,cust_11,2025-05-19,419.8
ord_0034,cust_17,2025-03-08,24.87
ord_0035,,2025-09-08,104.88
ord_0036,cust_17,2025-03-27,66.84
ord_0037,cust_16,2025-04-19,254.74
ord_0038,cust_5,2025-10-17,373.87
ord_0039,,2025-12-13,316.86
ord_0040,cust_3,2025-09-02,426.31
ord_0041,cust_15,2025-12-01,81.83
ord_0042,cust_14,2025-11-08,368.64
ord_0043,cust_7,2025-06-25,100.56
ord_0044,cust_1,2025-10-09,139.03
ord_0045,cust_19,2025-04-30,356.4
ord_0046,cust_8,2025-06-18,490.2
ord_0047,cust_17,2025-07-15,307.71
ord_0048,cust_13,2025-12-17,31.98
ord_0049,,2025-11-06,310.07
ord_0050,cust_15,2025-06-28,25.96
ord_0051,cust_3,2025-08-27,442.65
ord_0052,,2025-03-15,356.24
ord_0053,cust_9,2025-10-21,90.7
ord_0054,,2025-07-21,50.4
ord_0055,cust_0,2025-07-14,95.85
ord_0056,cust_10,2025-10-07,490.11
ord_0057,cust_3,2025-08-20,231.99
ord_0058,cust_14,2025-01-27,393.12
ord_0059,cust_13,2025-04-16,320.02
ord_0060,,2025-03-06,288.34
ord_0061,cust_14,2025-09-26,76.84
ord_0062,cust_7,2025-01-13,473.28
ord_0063,,2025-03-15,154.16
ord_0064,cust_8,2025-08-07,291.12
ord_0065,cust_6,2025-09-11,351.39
ord_0066,cust_18,2025-07-03,326.37
